"Wo","CR","Freq","Qall"
"1",0.56440976,0.675,1.25,0.00986672160262477
"2",0.78737526,0.51622868,1.25,0.00538355444568157
"3",0.78737526,0.675,0.8169873,0.0118637628616509
"4",0.78737526,0.675,1.25,0.00991922852996884
"5",0.78737526,0.675,1.6830127,0.0161642143947722
"6",0.78737526,0.83377132,1.25,0.0257656761609739
"7",1.2157465,0.46198592,1.25,0.00478460274982889
"8",1.2157465,0.51622868,0.8169873,0.00480674969880426
"9",1.2157465,0.51622868,1.25,0.00545769047544756
"10",1.2157465,0.51622868,1.6830127,0.00725934596340739
"11",1.2157465,0.675,0.6690525,0.0119464703668497
"12",1.2157465,0.675,0.8169873,0.0117706612741071
"13",1.2157465,0.675,1.25,0.0100562271754134
"14",1.2157465,0.675,1.6830127,0.0167182742879413
"15",1.2157465,0.675,1.8309475,0.0158330333521544
"16",1.2157465,0.83377132,0.8169873,0.0288829968601442
"17",1.2157465,0.83377132,1.25,0.02595729647183
"18",1.2157465,0.83377132,1.6830127,0.0365275976650527
"19",1.2157465,0.88801408,1.25,0.0335415831137976
"20",2.1921162,0.43818751,1.25,0.00487500374652565
"21",2.1921162,0.46198592,0.8169873,0.00373578508678884
"22",2.1921162,0.46198592,1.25,0.0051561195299307
"23",2.1921162,0.46198592,1.6830127,0.0055944209439172
"24",2.1921162,0.51622868,0.6690525,0.00658922716230504
"25",2.1921162,0.51622868,0.8169873,0.00482384572944665
"26",2.1921162,0.51622868,1.25,0.00589524577624347
"27",2.1921162,0.51622868,1.6830127,0.00721751509260276
"28",2.1921162,0.51622868,1.8309475,0.00710235563643363
"29",2.1921162,0.58150521,1.25,0.00709864478090922
"30",2.1921162,0.675,0.60414777,0.0144132681916208
"31",2.1921162,0.675,0.6690525,0.0124395108775158
"32",2.1921162,0.675,0.8169873,0.0113174931861242
"33",2.1921162,0.675,0.99501422,0.00980010948649531
"34",2.1921162,0.675,1.25,0.0105322175218363
"35",2.1921162,0.675,1.5049858,0.0127268216696977
"36",2.1921162,0.675,1.6830127,0.0160338854871637
"37",2.1921162,0.675,1.8309475,0.0156456481283168
"38",2.1921162,0.675,1.8958522,0.0151555169151306
"39",2.1921162,0.76849479,1.25,0.0182459817864419
"40",2.1921162,0.83377132,0.6690525,0.0275679264920356
"41",2.1921162,0.83377132,0.8169873,0.0281114580067618
"42",2.1921162,0.83377132,1.25,0.0262487103402041
"43",2.1921162,0.83377132,1.6830127,0.0374839131537443
"44",2.1921162,0.83377132,1.8309475,0.0353684087628215
"45",2.1921162,0.88801408,0.8169873,0.0361259982318217
"46",2.1921162,0.88801408,1.25,0.0337690224896097
"47",2.1921162,0.88801408,1.6830127,0.0471381989288891
"48",2.1921162,0.91181249,1.25,0.036857273158005
"49",2.3845769,0.675,1.25,0.0106479384541195
"50",3.3670938,0.51622868,1.25,0.00669303096523546
"51",3.3670938,0.675,0.8169873,0.0108080685857464
"52",3.3670938,0.675,1.25,0.0112374487922643
"53",3.3670938,0.675,1.6830127,0.0144765386400036
"54",3.3670938,0.83377132,1.25,0.0266315259265081
"55",5.05,0.42580054,1.25,0.00630948027056773
"56",5.05,0.43818751,0.8169873,0.003699470600728
"57",5.05,0.43818751,1.25,0.00652019407328443
"58",5.05,0.43818751,1.6830127,0.00524732981809071
"59",5.05,0.46198592,0.6690525,0.00983244077741324
"60",5.05,0.46198592,0.8169873,0.00402798033457
"61",5.05,0.46198592,1.25,0.00688597885838178
"62",5.05,0.46198592,1.6830127,0.00574488899209517
"63",5.05,0.46198592,1.8309475,0.0057090493980789
"64",5.05,0.51622868,0.60414777,0.0150982535836219
"65",5.05,0.51622868,0.6690525,0.0111120322138844
"66",5.05,0.51622868,0.8169873,0.00491378913958807
"67",5.05,0.51622868,0.99501422,0.00533773394471682
"68",5.05,0.51622868,1.25,0.00782098134623802
"69",5.05,0.51622868,1.5049858,0.007298144430165
"70",5.05,0.51622868,1.6830127,0.00706289558112605
"71",5.05,0.51622868,1.8309475,0.0070632189407554
"72",5.05,0.51622868,1.8958522,0.00723803325519752
"73",5.05,0.52692094,1.25,0.00800789828327495
"74",5.05,0.58150521,0.8169873,0.00673935855504024
"75",5.05,0.58150521,1.25,0.00952378808790141
"76",5.05,0.58150521,1.6830127,0.00903988591560271
"77",5.05,0.675,0.57036512,0.0188494188771377
"78",5.05,0.675,0.60414777,0.0191333317294744
"79",5.05,0.675,0.6690525,0.0158992271104035
"80",5.05,0.675,0.8169873,0.0116079659496059
"81",5.05,0.675,0.84614802,0.0111199184271162
"82",5.05,0.675,0.99501422,0.0108830989687023
"83",5.05,0.675,1.25,0.011946407692478
"84",5.05,0.675,1.5049858,0.0128839826344135
"85",5.05,0.675,1.653852,0.0144963788491168
"86",5.05,0.675,1.6830127,0.0142915599261106
"87",5.05,0.675,1.8309475,0.0128830657730061
"88",5.05,0.675,1.8958522,0.0130503870476263
"89",5.05,0.675,1.9296349,0.0141480287008718
"90",5.05,0.76849479,0.8169873,0.0180262099079672
"91",5.05,0.76849479,1.25,0.0186704134747174
"92",5.05,0.76849479,1.6830127,0.0231708493557918
"93",5.05,0.82307906,1.25,0.0257384131164356
"94",5.05,0.83377132,0.60414777,0.0319084877439376
"95",5.05,0.83377132,0.6690525,0.0294972761683714
"96",5.05,0.83377132,0.8169873,0.0263619772794666
"97",5.05,0.83377132,0.99501422,0.0264205231318202
"98",5.05,0.83377132,1.25,0.027480565374678
"99",5.05,0.83377132,1.5049858,0.0274955094803206
"100",5.05,0.83377132,1.6830127,0.0326574274041168
"101",5.05,0.83377132,1.8309475,0.0325064097715352
"102",5.05,0.83377132,1.8958522,0.0314032080002206
"103",5.05,0.88801408,0.6690525,0.0377031087094742
"104",5.05,0.88801408,0.8169873,0.0347848856535494
"105",5.05,0.88801408,1.25,0.0352629742383031
"106",5.05,0.88801408,1.6830127,0.0450264167307165
"107",5.05,0.88801408,1.8309475,0.0431101436329672
"108",5.05,0.91181249,0.8169873,0.0380320360076566
"109",5.05,0.91181249,1.25,0.038166409647099
"110",5.05,0.91181249,1.6830127,0.0507473867228933
"111",5.05,0.92419946,1.25,0.0396353999980302
"112",6.7329062,0.51622868,1.25,0.00930940947105859
"113",6.7329062,0.675,0.8169873,0.0105763882637761
"114",6.7329062,0.675,1.25,0.0138946392737539
"115",6.7329062,0.675,1.6830127,0.0155738648402202
"116",6.7329062,0.83377132,1.25,0.0273719545189202
"117",7.7154231,0.675,1.25,0.0152360168958196
"118",7.9078838,0.43818751,1.25,0.00902187261269654
"119",7.9078838,0.46198592,0.8169873,0.00410208680496239
"120",7.9078838,0.46198592,1.25,0.00953913099202435
"121",7.9078838,0.46198592,1.6830127,0.00578342561731914
"122",7.9078838,0.51622868,0.6690525,0.0171494259126318
"123",7.9078838,0.51622868,0.8169873,0.00496312543463011
"124",7.9078838,0.51622868,1.25,0.0108455899130762
"125",7.9078838,0.51622868,1.6830127,0.00720923759613834
